stream,value
0,1025.200000000001
1,934.8000000000004
2,1034.0
3,932.5999999999998
4,888.3999999999995
5,998.1999999999991
6,1050.400000000001
7,1014.2
8,982.0
9,988.1999999999995
10,1001.3999999999997
11,1056.0000000000005
12,1058.4000000000005
13,910.1999999999997
14,1030.3999999999994
15,972.2000000000004
16,1002.2000000000004
17,1008.4000000000005
18,986.5999999999998
19,1038.6
20,1103.1999999999991
21,1022.7999999999994
22,952.3999999999994
23,957.5999999999992
24,1057.999999999999
25,1045.4000000000021
26,944.0000000000003
27,1032.7999999999995
28,1086.1999999999998
29,973.9999999999987
30,955.7999999999997
31,950.9999999999999
32,996.000000000001
33,969.6000000000003
34,962.5999999999999
35,1054.8000000000002
36,973.1999999999997
37,989.200000000001
38,974.3999999999994
39,925.2000000000007
40,906.3999999999994
41,917.6000000000009
42,1039.1999999999996
43,1015.5999999999999
44,983.6000000000006
45,974.0000000000002
46,961.1999999999991
47,980.8000000000015
48,1003.3999999999993
49,963.8000000000006
50,974.1999999999991
51,1021.7999999999996
52,999.6
53,1090.1999999999994
54,1002.4000000000004
55,918.8000000000005
56,880.5999999999991
57,977.2000000000006
58,1052.3999999999987
59,1012.7999999999997
60,1026.9999999999993
61,998.5999999999997
62,987.0
63,983.6
64,971.9999999999997
65,981.2000000000005
66,1009.8000000000009
67,994.3999999999997
68,1052.8
69,997.6000000000012
70,972.4000000000003
71,1008.3999999999995
72,1082.7999999999995
73,1042.7999999999997
74,1023.4000000000007
75,1066.599999999999
76,984.8000000000002
77,968.4000000000003
78,980.9999999999995
79,1017.599999999999
80,953.7999999999997
81,984.4000000000002
82,959.8000000000006
83,1047.1999999999991
84,906.6000000000007
85,996.0
86,1064.799999999999
87,1023.4
88,1001.199999999999
89,988.8000000000003
90,1091.1999999999996
91,1056.9999999999993
92,980.7999999999997
93,963.4000000000002
94,1104.6000000000001
95,958.7999999999997
96,957.3999999999997
97,1065.199999999999
98,1035.9999999999995
99,993.8000000000003
100,1008.600000000001
101,1002.1999999999992
102,965.3999999999999
103,1001.6000000000003
104,949.1999999999999
105,989.4000000000003
106,985.0000000000002
107,1023.3999999999997
108,1023.3999999999999
109,1054.0000000000007
110,974.6000000000006
111,991.4
112,991.0
113,1005.3999999999993
114,1017.0000000000011
115,1028.0000000000002
116,1060.1999999999994
117,983.0000000000006
118,973.0000000000002
119,1009.000000000001
120,978.1999999999997
121,993.4000000000001
122,1068.0000000000002
123,1036.4
124,978.7999999999992
125,997.8000000000002
126,1003.7999999999996
127,961.8000000000004
128,909.200000000001
129,949.0000000000014
130,979.1999999999994
131,985.5999999999996
132,949.6000000000009
133,927.0000000000005
134,927.400000000001
135,1003.5999999999999
136,969.8000000000009
137,933.6
138,1017.6000000000005
139,986.2000000000005
140,1050.9999999999998
141,1005.2000000000003
142,1046.0000000000007
143,1019.399999999999
144,1027.3999999999999
145,993.1999999999994
146,951.7999999999993
147,1024.2
148,966.2000000000005
149,987.6000000000009
150,964.0000000000005
151,1020.2
152,966.2000000000005
153,1005.8000000000006
154,1061.599999999999
155,954.0000000000002
156,1034.6
157,1063.7999999999993
158,1024.2
159,1022.0000000000001
160,991.6000000000001
161,1008.6000000000004
162,1013.4000000000003
163,968.6000000000004
164,1002.0000000000006
165,913.1999999999992
166,1009.0000000000002
167,1021.3999999999993
168,1090.7999999999995
169,1010.5999999999997
170,986.8000000000006
171,1004.0000000000005
172,927.5999999999997
173,977.200000000002
174,917.800000000001
175,1017.0000000000003
176,1009.7999999999994
177,1019.6
178,1014.7999999999998
179,960.7999999999998
180,1033.6
181,976.5999999999999
182,994.1999999999995
183,976.4
184,1005.9999999999999
185,956.0000000000002
186,1041.2
187,1012.8000000000009
188,1030.7999999999993
189,955.2
190,945.4000000000005
191,967.9999999999998
192,994.0000000000007
193,965.8000000000002
194,1057.7999999999995
195,977.3999999999999
196,1034.3999999999994
197,1059.9999999999995
198,972.0000000000005
199,1054.1999999999994
200,965.7999999999996
201,978.8000000000002
202,954.4000000000005
203,1014.0000000000005
204,965.2
205,957.2000000000004
206,1064.5999999999995
207,964.3999999999996
208,1010.5999999999993
209,997.4000000000003
210,1098.5999999999995
211,955.5999999999995
212,1068.5999999999992
213,1048.5999999999995
214,1065.1999999999998
215,1055.6000000000001
216,1008.5999999999996
217,1009.0000000000002
218,995.3999999999999
219,1000.7999999999998
220,1034.3999999999996
221,1024.3999999999999
222,916.6
223,990.4000000000009
224,1125.2000000000012
225,1015.599999999999
226,1060.4
227,927.2000000000007
228,978.1999999999994
229,982.8000000000004
230,956.6000000000004
231,968.8000000000001
232,924.6
233,965.7999999999997
234,1005.000000000001
235,986.9999999999983
236,1018.2000000000005
237,978.0000000000006
238,1008.6000000000001
239,940.8000000000001
240,1066.6000000000006
241,1008.7999999999997
242,999.6000000000014
243,1050.3999999999994
244,1056.5999999999995
245,1000.2
246,973.4000000000001
247,1080.0
248,1072.2000000000012
249,995.6
250,986.7999999999995
251,938.8000000000003
252,1023.5999999999996
253,1008.8000000000003
254,934.1999999999996
255,952.1999999999997
